description,title,country,region,postal code,locality,extend address,name
"
	CyrusOne (Sterling) is located in the area Sterling, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-05-2015.",CyrusOne (Sterling),USA,Virginia,20166,Sterling,CyrusOne (Sterling),CyrusOne Data Centers
"
	vXchnge Austin (TX01) is located in the area Austin, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 25-04-2017.",vXchnge Austin (TX01),USA,Texas,78753,Austin,vXchnge Austin (TX01),vXchnge
"
	EGIT is located in the area Cairo (Al Qahirah), Egypt, and the colocation data center is  carrier neutral. The data center was last updated on 09-08-2016.",EGIT,Egypt,0,11835,Cairo,,EGIT
"
	vXchnge Minneapolis (MN01) is located in the area Minneapolis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 25-04-2017.",vXchnge Minneapolis (MN01),USA,Minnesota,55415,Minneapolis,vXchnge Minneapolis (MN01),vXchnge
"
	vXchnge Philadelphia (PA01) is located in the area Philadelphia, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 25-04-2017.",vXchnge Philadelphia (PA01),USA,Pennsylvania,19130,Philadelphia,vXchnge Philadelphia (PA01),vXchnge
"
	vXchnge Portland (OR01) is located in the area Portland, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 25-04-2017.",vXchnge Portland (OR01),USA,Oregon,97209,Portland,vXchnge Portland (OR01),vXchnge
"
	vXchnge Pittsburgh (PA02) is located in the area Pittsburgh, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 25-04-2017.",vXchnge Pittsburgh (PA02),USA,Pennsylvania,15222,Pittsburgh,vXchnge Pittsburgh (PA02),vXchnge
"
	vXchnge Raleigh-Durham (NC01) is located in the area Raleigh, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 25-04-2017.",vXchnge Raleigh-Durham (NC01),USA,North Carolina,27703,Durham,vXchnge Raleigh-Durham (NC01),vXchnge
"
	vXchnge St. Paul (MN02) is located in the area Minneapolis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 25-04-2017.",vXchnge St. Paul (MN02),USA,Minnesota,55108,St. Paul,vXchnge St. Paul (MN02),vXchnge
"
	Pulsant - South Gyle 1/2 is located in the area Edinburgh (Scotland), United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 04-08-2015.",Pulsant - South Gyle 1/2,United Kingdom,,EH12 9LB,Midlothian,Pulsant - South Gyle 1/2,Pulsant Ltd
"
	Cover-All Birchmount Centre is located in the area Toronto, Canada, and the colocation data center is not  carrier neutral. The data center was last updated on 13-09-2016.",Cover-All Birchmount Centre,Canada,Ontario,M1P5E3,Toronto,Cover-All Birchmount Centre,Cover-All Computer Services Corp
